RefNum,age,job,marital,education,housing,loan,contact,day,month,duration,deposit,balance
10024982,33,blue-collar,single,secondary,yes,no,,10,november,112,4224.6,10080
10024983,40,admin.,single,secondary,yes,no,,6,december,383,5812.2,21240
10024984,27,blue-collar,married,secondary,yes,no,,30,january,207,22494.6,19080
10024985,42,management,single,tertiary,yes,no,,25,february,193,31887,318240
10024986,41,blue-collar,married,secondary,yes,no,,27,march,10,14803.2,38340
10024987,37,unemployed,single,secondary,yes,no,,25,april,985,34349.4,68580
10024988,38,unemployed,married,primary,yes,yes,,13,may,249,33987.6,206460
10024989,44,blue-collar,married,secondary,yes,no,,8,june,122,7095.6,67140
10024990,31,blue-collar,married,primary,yes,no,,16,july,300,3007.8,9000
10024991,34,blue-collar,married,secondary,yes,yes,,15,august,672,0,12060
10024992,46,blue-collar,married,primary,yes,yes,,16,september,390,0,0
10024993,33,admin.,married,secondary,yes,yes,,15,october,116,9111.6,10980
10024994,36,blue-collar,married,secondary,yes,no,,7,november,481,15519.6,90720
10024995,32,unemployed,single,secondary,yes,no,,9,december,21,16705.8,31860
10024996,27,technician,single,secondary,yes,no,,19,january,192,,105120
10024997,31,services,married,primary,yes,no,,10,february,6,,-131760
10024998,41,management,single,tertiary,yes,no,,27,march,8,12735,102960
10024999,35,blue-collar,married,primary,yes,no,,7,april,369,0,18900
10025000,50,technician,single,tertiary,yes,no,,15,may,393,0,0
10025001,33,technician,married,secondary,yes,yes,,28,june,246,77038.2,149760
10025002,48,blue-collar,married,primary,yes,no,,26,july,330,37296,475560
10025003,36,technician,married,secondary,yes,no,,13,august,380,19443.6,35100
10025004,29,housemaid,single,secondary,yes,no,,26,september,91,25522.2,129240
10025005,34,management,married,tertiary,yes,yes,,7,october,84,17355.6,60480
10025006,39,blue-collar,married,primary,yes,no,,26,november,277,946.8,59760
10025007,32,management,divorced,tertiary,yes,no,,17,december,399,,180
10025008,59,retired,divorced,primary,yes,yes,,26,january,89,,-24840
10025009,50,blue-collar,married,primary,no,no,,10,february,297,5320.8,134820
10025010,37,admin.,married,secondary,yes,no,,21,march,176,2586.6,2520
10025011,33,unemployed,single,secondary,no,no,,30,april,75,16315.2,31860
10025012,52,blue-collar,married,secondary,no,no,,7,may,111,13766.4,100260
10025013,43,blue-collar,married,primary,yes,,,20,june,170,11052,22680
10025014,53,blue-collar,married,secondary,no,yes,,27,july,238,21925.8,64620
10025015,37,blue-collar,married,primary,yes,no,,26,august,137,9819,89280
10025016,50,services,single,secondary,no,no,,5,september,141,5832,12960
10025017,53,blue-collar,married,secondary,yes,no,,9,october,49,14254.2,31500
10025018,47,blue-collar,married,primary,no,no,,26,november,89,25815.6,77400
10025019,48,technician,divorced,tertiary,yes,no,,17,december,341,10341,103320
10025020,35,technician,divorced,secondary,yes,no,,3,january,461,4444.2,12420
10025021,42,self-employed,married,secondary,yes,no,,16,february,515,0,19080
10025022,43,management,divorced,tertiary,yes,no,,21,march,123,0,0
10025023,40,services,single,secondary,yes,no,,23,april,179,1614.6,4140
10025024,36,services,married,secondary,yes,no,,25,may,102,6975,7560
10025025,39,management,married,tertiary,yes,no,,6,june,272,10096.2,77220
10025026,32,blue-collar,divorced,primary,yes,no,,21,july,17,30565.8,15840
10025027,44,management,divorced,tertiary,yes,no,,21,august,40,43349.4,707760
10025028,43,technician,divorced,secondary,yes,no,,12,september,209,14954.4,31860
10025029,53,self-employed,married,secondary,yes,no,,11,october,89,28414.8,84240
10025030,41,services,married,secondary,yes,no,,27,november,1187,60535.8,115020
10025031,53,management,married,tertiary,yes,no,,2,december,123,42096.6,382320
10025032,31,unemployed,married,primary,yes,no,,18,january,104,12981.6,55620
10025033,51,blue-collar,married,primary,yes,no,,23,february,200,3303,36360
10025034,32,blue-collar,married,secondary,yes,yes,,24,march,117,,3600
10025035,52,blue-collar,married,secondary,yes,no,,5,april,37,,-3060
10025036,41,management,married,primary,yes,no,,4,may,51,,-75060
10025037,30,management,single,tertiary,yes,no,,19,june,145,23700.6,95040
10025038,32,management,single,tertiary,yes,no,,19,july,466,30177,70920
10025039,31,blue-collar,married,primary,yes,no,,17,august,303,32887.8,154080
10025040,38,blue-collar,married,secondary,yes,no,,14,september,101,13204.8,84240
10025041,44,blue-collar,married,secondary,yes,no,,10,october,283,12299.4,24840
10025042,36,blue-collar,married,secondary,yes,no,,2,november,826,15564.6,73080
10025043,34,admin.,married,tertiary,yes,no,,19,december,185,17665.2,39780
10025044,40,admin.,married,secondary,yes,yes,,23,january,598,,94140
10025045,41,blue-collar,married,primary,yes,no,,3,february,120,,-9360
10025046,56,technician,divorced,secondary,yes,no,,13,march,185,,71460
10025047,39,blue-collar,married,primary,yes,no,,12,april,159,,-77760
10025048,34,blue-collar,married,primary,yes,no,,23,may,220,29478.6,53640
10025049,41,blue-collar,single,secondary,yes,yes,,30,june,192,,194400
10025050,39,management,single,tertiary,yes,no,,28,july,423,,-15300
10025051,33,admin.,married,secondary,no,yes,,13,august,337,36502.2,722160
10025052,52,management,divorced,secondary,no,,,3,september,306,12861,22140
10025053,26,management,single,tertiary,yes,no,,10,october,99,5560.2,89640
10025054,54,unemployed,married,secondary,yes,no,,2,november,27,,4140
10025055,30,technician,married,,yes,no,,12,december,201,,-56700
10025056,35,management,married,tertiary,no,yes,,6,january,166,12960,16020
10025057,47,technician,divorced,secondary,yes,no,,26,february,182,16542,125820
10025058,53,blue-collar,divorced,secondary,yes,no,,21,march,193,,26100
10025059,29,blue-collar,single,secondary,yes,yes,,1,april,271,,-24840
10025060,36,technician,married,tertiary,yes,no,,3,may,103,32970.6,88380
10025061,35,management,married,tertiary,yes,no,,29,june,287,55195.2,147600
10025062,43,blue-collar,married,secondary,yes,no,,19,july,235,0,247680
10025063,38,blue-collar,married,primary,yes,no,,12,august,732,0,0
10025064,39,blue-collar,married,secondary,yes,no,,28,september,136,32486.4,91260
10025065,58,management,married,secondary,no,no,,20,october,126,25403.4,138780
10025066,33,services,married,secondary,yes,no,,29,november,172,10668.6,55800
10025067,60,blue-collar,married,primary,yes,no,,9,december,43,10668.6,24480
10025068,45,admin.,married,secondary,yes,no,,22,january,191,26085.6,55800
10025069,39,blue-collar,married,primary,yes,no,,1,february,117,5544,146340
10025070,35,management,married,tertiary,yes,yes,,22,march,64,,2520
10025071,41,blue-collar,married,primary,yes,no,,21,april,260,,-17460
10025072,40,services,married,primary,yes,no,,8,may,149,67174.2,59760
10025073,33,services,married,secondary,yes,no,,7,june,207,61801.2,906120
10025074,32,admin.,divorced,secondary,yes,no,,22,july,231,20905.2,50580
10025075,44,management,married,secondary,yes,no,,1,august,128,54230.4,103680
10025076,34,management,single,tertiary,yes,no,,1,september,162,49141.8,340380
10025077,29,services,single,secondary,yes,yes,,19,october,180,16608.6,85140
10025078,49,blue-collar,married,primary,yes,no,,8,november,144,,38880
10025079,31,blue-collar,married,secondary,yes,no,,16,december,260,,-2340
10025080,47,admin.,divorced,secondary,yes,no,,14,january,203,12636,29160
10025081,34,blue-collar,married,primary,yes,no,,12,february,85,16129.8,65700
10025082,32,management,single,tertiary,yes,no,,21,march,211,18689.4,47520
10025083,32,admin.,single,tertiary,yes,no,,19,april,94,17443.8,88200
10025084,56,technician,single,primary,yes,no,,14,may,122,,41400
10025085,28,technician,single,secondary,yes,yes,,18,june,175,,-1620
10025086,35,technician,single,secondary,yes,no,,29,july,292,19798.2,57060
10025087,52,self-employed,single,tertiary,yes,yes,,14,august,132,4847.4,82440
10025088,35,technician,married,secondary,yes,no,,18,september,130,5243.4,3420
10025089,32,blue-collar,married,secondary,yes,no,,1,october,208,13012.2,96480
10025090,42,management,divorced,secondary,yes,no,,27,november,105,10782,21060
10025091,51,blue-collar,single,primary,yes,no,,17,december,205,,66240
10025092,47,blue-collar,married,secondary,yes,no,,15,january,112,,-17640
10025093,34,services,married,secondary,yes,no,,26,february,117,17456.4,112860
10025094,45,admin.,married,secondary,yes,no,,2,march,218,3555,32400
10025095,31,technician,divorced,secondary,yes,no,,25,april,62,12344.4,4680
10025096,40,blue-collar,married,primary,yes,no,,19,may,97,,390780
10025097,53,entrepreneur,married,secondary,yes,no,,6,june,101,,-21240
10025098,44,technician,single,secondary,yes,no,,8,july,286,23061.6,190620
10025099,49,blue-collar,married,primary,yes,no,,17,august,241,25610.4,33480
10025100,47,services,married,secondary,yes,no,,24,september,252,102972.6,235080
10025101,31,blue-collar,married,primary,yes,no,,4,october,283,,541260
10025102,45,admin.,single,secondary,yes,no,,28,november,131,,-15840
10025103,30,blue-collar,married,primary,yes,yes,,28,december,380,3875.4,47700
10025104,40,blue-collar,divorced,primary,yes,no,,28,january,584,3610.8,3780
10025105,27,admin.,single,,yes,no,,20,february,371,12510,41400
10025106,28,admin.,married,secondary,yes,no,,15,march,448,16945.2,45360
10025107,28,admin.,single,tertiary,yes,no,,5,april,274,9840.6,75960
10025108,44,blue-collar,married,secondary,yes,no,,8,may,116,31363.2,15300
10025109,35,management,married,tertiary,yes,no,,15,june,357,0,771480
10025110,29,blue-collar,married,secondary,no,no,,23,july,215,0,0
10025111,33,blue-collar,divorced,primary,no,no,,10,august,131,10549.8,10800
10025112,32,blue-collar,married,secondary,yes,no,,19,september,61,8613,123660
10025113,35,blue-collar,single,secondary,yes,no,,13,october,617,1540.8,7200
10025114,31,technician,single,tertiary,yes,no,,19,november,483,,3960
10025115,36,technician,single,secondary,yes,yes,,1,december,847,,-59940
10025116,41,technician,married,secondary,yes,no,,1,january,319,25612.2,86940
10025117,35,blue-collar,married,secondary,yes,yes,,16,february,57,41119.2,90540
10025118,40,blue-collar,married,secondary,yes,no,,10,march,306,19832.4,224100
10025119,42,blue-collar,married,secondary,yes,no,,20,april,147,3229.2,21060
10025120,34,technician,single,tertiary,yes,yes,,10,may,244,,5940
10025121,41,technician,single,secondary,yes,no,,3,june,128,,-57600
10025122,43,blue-collar,divorced,primary,yes,no,,27,july,100,0,8820
10025123,37,management,married,tertiary,yes,no,,9,august,59,0,0
10025124,26,blue-collar,single,secondary,yes,no,,23,september,24,9637.2,18000
10025125,32,housemaid,married,primary,yes,no,,8,october,85,,61920
10025126,51,blue-collar,married,secondary,yes,no,,19,november,70,,-51480
10025127,38,blue-collar,single,secondary,yes,no,,16,december,21,7545.6,10260
10025128,51,unemployed,divorced,secondary,no,no,,23,january,167,21668.4,66600
10025129,49,services,divorced,secondary,yes,no,,5,february,659,0,84600
10025130,31,housemaid,married,secondary,yes,,,3,march,327,0,0
10025131,33,blue-collar,married,primary,yes,no,,16,april,296,1438.2,138060
10025132,30,admin.,single,,no,no,,15,may,307,0,180
10025133,33,technician,married,secondary,no,no,,1,june,120,0,0
10025134,41,unemployed,married,secondary,yes,no,,20,july,390,7878.6,21780
10025135,37,blue-collar,married,secondary,yes,no,,18,august,83,7846.2,34200
10025136,33,blue-collar,married,primary,yes,no,,20,september,250,25885.8,21600
10025137,32,services,married,secondary,yes,yes,,30,october,143,43056,372240
10025138,46,technician,married,secondary,yes,no,,7,november,772,,59760
10025139,34,management,single,tertiary,no,no,,24,december,198,,-57960
10025140,32,blue-collar,married,primary,yes,no,,8,january,21,1490.4,49320
10025141,43,blue-collar,single,secondary,yes,no,,17,february,929,219.6,540
10025142,28,blue-collar,married,secondary,yes,no,,14,march,254,2160,1080
10025143,46,technician,divorced,tertiary,yes,no,,24,april,166,10654.2,51840
10025144,52,services,divorced,primary,yes,no,,19,may,93,10618.2,26280
10025145,34,blue-collar,married,secondary,yes,no,,13,june,134,9381.6,51480
10025146,27,technician,divorced,secondary,yes,yes,,7,july,375,7648.2,20520
10025147,32,technician,single,tertiary,yes,yes,,29,august,352,7545.6,34200
10025148,37,blue-collar,single,secondary,yes,no,,12,september,217,8586,19980
10025149,29,management,married,tertiary,yes,no,,10,october,45,8469,44280
10025150,40,housemaid,divorced,secondary,no,no,,13,november,93,7383.6,19440
10025151,47,technician,married,primary,yes,no,,26,december,165,15190.2,33660
10025152,34,blue-collar,married,secondary,yes,no,,1,january,266,12713.4,82260
10025153,25,admin.,single,secondary,yes,yes,,19,february,237,25407,23580
10025154,30,management,married,tertiary,yes,no,,23,march,164,38894.4,328500
10025155,31,admin.,married,secondary,yes,no,,2,april,538,,55260
10025156,35,blue-collar,married,secondary,yes,no,,30,may,72,,-35640
10025157,32,blue-collar,divorced,secondary,yes,no,,24,june,171,38916,133020
10025158,28,blue-collar,single,secondary,yes,no,,11,july,710,39904.2,136620
10025159,27,services,single,secondary,yes,no,,9,august,131,28161,139860
10025160,37,blue-collar,married,primary,yes,no,,16,september,514,18545.4,68040
10025161,35,blue-collar,single,primary,yes,no,,16,october,127,,60660
10025162,34,blue-collar,married,primary,yes,no,,16,november,198,,-14040
10025163,31,admin.,married,secondary,yes,no,,21,december,239,11291.4,63900
10025164,36,management,divorced,tertiary,yes,no,,7,january,117,3389.4,23940
10025165,38,technician,married,secondary,yes,no,,17,february,705,2179.8,5760
10025166,25,services,married,secondary,yes,yes,,22,march,155,7869.6,9900
10025167,51,management,single,tertiary,yes,no,,23,april,18,13125.6,75060
10025168,26,blue-collar,single,secondary,yes,no,,28,may,386,18111.6,27540
10025169,40,retired,married,tertiary,no,,,5,june,138,20021.4,142920
10025170,26,services,single,secondary,yes,no,,24,july,341,13005,33660
10025171,36,services,married,secondary,yes,no,,21,august,339,35674.2,60300
10025172,59,blue-collar,married,secondary,yes,no,,11,september,232,0,253260
10025173,26,blue-collar,single,secondary,yes,yes,,9,october,208,0,-20880
10025174,49,self-employed,married,tertiary,yes,no,,10,november,124,40451.4,331560
10025175,33,blue-collar,married,primary,yes,no,,25,december,44,19499.4,59220
10025176,31,blue-collar,married,secondary,yes,no,,27,january,75,14463,77040
10025177,59,management,single,secondary,yes,no,,14,february,485,32331.6,32580
10025178,38,entrepreneur,married,secondary,yes,no,,2,march,576,38224.8,385020
10025179,37,services,single,secondary,yes,yes,,22,april,280,9531,45540
10025180,31,unemployed,single,tertiary,yes,no,,15,may,480,16790.4,23940
10025181,54,retired,married,secondary,yes,no,,20,june,86,,141300
10025182,41,blue-collar,married,primary,yes,yes,,10,july,121,,-8100
10025183,44,management,married,tertiary,yes,no,,2,august,93,,40140
10025184,28,admin.,single,secondary,yes,no,,15,september,211,135781.2,509580
10025185,22,student,single,secondary,yes,no,,15,october,238,8463.6,434160
10025186,31,blue-collar,married,primary,yes,no,,17,november,399,2503.8,1980
10025187,36,services,married,secondary,yes,no,,14,december,93,4401,37980
10025188,37,admin.,divorced,secondary,yes,no,,25,january,144,4514.4,6120
10025189,54,admin.,married,secondary,yes,no,,24,february,45,44373.6,39960
10025190,28,management,single,tertiary,yes,no,,30,march,98,,591300
10025191,42,blue-collar,married,primary,yes,no,,4,april,128,,-12060
10025192,35,technician,single,tertiary,yes,no,,1,may,106,0,120600
10025193,29,admin.,married,secondary,yes,no,,23,june,121,0,0
10025194,59,blue-collar,single,primary,yes,no,,1,july,123,,17280
10025195,46,blue-collar,married,secondary,yes,no,,24,august,92,,-540
10025196,32,self-employed,single,secondary,yes,no,,18,september,278,12130.2,22140
10025197,43,management,divorced,tertiary,yes,no,,12,october,219,22037.4,79740
10025198,41,blue-collar,married,primary,yes,no,,3,november,2462,24217.2,73080
10025199,31,admin.,married,secondary,no,no,,16,december,249,20887.2,96300
10025200,26,services,single,secondary,yes,no,,25,january,210,,54360
10025201,29,blue-collar,married,primary,yes,no,,17,february,484,,-7740
10025202,31,services,married,secondary,no,no,,3,march,187,,-62280
10025203,37,blue-collar,divorced,secondary,yes,no,,16,april,172,,-48780
10025204,35,technician,married,secondary,yes,no,,23,may,79,7462.8,9900
10025205,31,technician,single,tertiary,yes,no,,17,june,207,,67500
10025206,30,blue-collar,married,secondary,yes,no,,19,july,136,,-360
10025207,29,blue-collar,single,primary,yes,no,,1,august,117,,-122400
10025208,29,admin.,divorced,secondary,no,no,,5,september,393,0,0
10025209,39,blue-collar,single,secondary,yes,no,,30,october,107,9682.2,39060
10025210,31,blue-collar,single,secondary,yes,no,,17,november,25,7140.6,28800
10025211,27,management,single,tertiary,yes,no,,25,december,132,,21240
10025212,22,admin.,single,secondary,yes,no,,20,january,136,,-180
10025213,31,management,single,secondary,yes,no,,22,february,384,14376.6,81540
10025214,39,blue-collar,single,secondary,yes,no,,4,march,38,18950.4,30420
10025215,25,admin.,single,secondary,yes,no,,3,april,164,12873.6,141660
10025216,27,self-employed,single,secondary,yes,no,,27,may,825,21859.2,14040
10025217,28,technician,single,tertiary,yes,no,,4,june,331,36124.2,408420
10025218,31,unemployed,married,primary,yes,no,,26,july,479,9711,38340
10025219,46,technician,divorced,secondary,yes,no,,4,august,229,20336.4,29520
10025220,37,blue-collar,married,secondary,no,no,,14,september,258,3175.2,168120
10025221,27,services,single,secondary,yes,yes,,5,october,490,1954.8,720
10025222,34,unemployed,divorced,secondary,yes,no,,18,november,308,4689,63720
10025223,30,technician,single,secondary,yes,no,,29,december,137,4444.2,4140
10025224,23,student,single,secondary,yes,no,,24,january,545,,57240
10025225,33,technician,divorced,secondary,no,yes,,9,february,109,,-54900
10025226,43,admin.,married,secondary,yes,no,,5,march,168,65633.4,110880
10025227,50,blue-collar,married,primary,yes,no,,22,april,257,114292.8,466200
10025228,31,technician,married,secondary,yes,no,,22,may,213,,336240
10025229,32,blue-collar,single,secondary,no,no,,21,june,115,,-104040
10025230,32,admin.,single,secondary,yes,yes,,26,july,646,,-40860
10025231,37,technician,divorced,secondary,yes,no,,29,august,106,46485,356580
10025232,60,management,divorced,,yes,no,,3,september,95,8420.4,72720
10025233,47,blue-collar,divorced,secondary,yes,no,,23,october,205,,11700
10025234,32,blue-collar,married,secondary,yes,no,,16,november,653,,-180
10025235,34,services,married,secondary,yes,no,,10,december,122,,-12240
10025236,36,blue-collar,divorced,,yes,no,,25,january,377,0,0
10025237,28,services,single,secondary,yes,no,,12,february,322,31998.6,41220
10025238,31,services,divorced,secondary,yes,no,,7,march,208,77461.2,298080
10025239,43,housemaid,married,primary,yes,yes,,4,april,46,34632,241560
10025240,32,unemployed,single,secondary,yes,no,,10,may,211,14583.6,59580
10025241,31,services,married,secondary,yes,yes,,10,june,156,11394,42840
10025242,56,admin.,married,primary,yes,no,,27,july,178,13168.8,36360
10025243,34,management,single,tertiary,yes,no,,4,august,133,,57240
10025244,46,technician,single,secondary,yes,yes,,4,september,206,,-202320
10025245,27,admin.,single,secondary,yes,no,,13,october,544,56563.2,119160
10025246,33,blue-collar,married,secondary,yes,yes,,11,november,143,30934.8,322200
10025247,35,blue-collar,married,primary,yes,no,,18,december,471,19701,35640
10025248,29,management,single,tertiary,yes,no,,11,january,200,18939.6,130680
10025249,39,management,married,tertiary,yes,no,,13,february,324,8580.6,32940
10025250,48,blue-collar,married,secondary,yes,no,,1,march,71,,26820
10025251,58,blue-collar,married,primary,yes,no,,11,april,164,,-16380
10025252,36,blue-collar,married,secondary,yes,no,,4,may,137,,-1620
10025253,33,blue-collar,married,primary,yes,no,,28,june,91,0,24120
10025254,32,management,married,tertiary,no,no,,4,july,280,0,0
10025255,32,entrepreneur,single,tertiary,yes,no,,13,august,230,21360.6,1126620
10025256,31,admin.,married,secondary,no,yes,,14,september,63,5284.8,4860
10025257,30,blue-collar,single,primary,yes,no,,7,october,135,33849,68940
10025258,30,management,single,tertiary,yes,yes,,23,november,261,18709.2,199440
10025259,40,blue-collar,married,primary,yes,no,,24,december,215,5841,21060
10025260,35,blue-collar,married,primary,yes,no,,13,january,200,11818.8,19440
10025261,42,blue-collar,married,primary,yes,no,,20,february,391,9169.2,86220
10025262,60,technician,married,primary,yes,no,,26,march,1028,6408,11700
10025263,28,services,single,secondary,no,no,,16,april,107,,42120
10025264,29,admin.,single,secondary,yes,no,,8,may,108,,-9540
10025265,33,unemployed,married,secondary,yes,yes,,29,june,145,,-23580
10025266,23,services,single,secondary,yes,yes,,22,july,142,,-7020
10025267,34,blue-collar,married,primary,yes,no,,5,august,106,9916.2,25020
10025268,29,services,single,secondary,yes,no,,1,september,134,10638,47160
10025269,32,blue-collar,single,secondary,yes,no,,18,october,190,8964,28800
10025270,55,services,married,secondary,yes,yes,,12,november,241,,33480
10025271,39,retired,single,primary,no,no,,6,december,180,,-14220
10025272,37,admin.,single,secondary,yes,no,,26,january,237,15697.8,200340
10025273,26,blue-collar,single,secondary,yes,no,,11,february,654,8429.4,14760
10025274,35,management,divorced,tertiary,yes,no,,2,march,189,33901.2,57780
10025275,26,management,single,tertiary,yes,no,,25,april,70,89892,238680
10025276,34,technician,single,tertiary,yes,no,,27,may,62,91470.6,406260
10025277,55,blue-collar,married,primary,no,no,,5,june,1087,33570,247140
10025278,39,services,married,secondary,yes,yes,,19,july,323,23257.8,54720
10025279,27,student,married,tertiary,yes,no,,17,august,111,29557.8,118620
10025280,30,entrepreneur,single,secondary,yes,no,,15,september,197,11572.2,88380
10025281,28,management,single,,yes,no,,18,october,224,3000.6,18180
10025282,33,blue-collar,single,secondary,yes,no,,7,november,557,5092.2,5940
10025283,43,management,married,tertiary,yes,no,,7,december,150,13087.8,52380
10025284,50,services,married,tertiary,yes,no,,25,january,388,7749,39240
10025285,26,blue-collar,single,primary,yes,no,,5,february,89,4923,18360
10025286,33,blue-collar,married,secondary,yes,no,,15,march,57,4726.8,15840
10025287,47,blue-collar,married,primary,yes,no,,30,april,209,,16920
10025288,33,management,single,secondary,yes,yes,,29,may,188,,-119700
10025289,34,blue-collar,married,secondary,yes,yes,,17,june,342,,-59580
10025290,33,blue-collar,single,secondary,yes,no,,17,july,84,14974.2,99000
10025291,23,student,single,secondary,yes,no,,9,august,97,46947.6,27180
10025292,29,self-employed,single,tertiary,no,no,,11,september,530,62661.6,973080
10025293,33,blue-collar,married,secondary,yes,no,,2,october,365,42244.2,48420
10025294,41,management,married,,yes,no,,2,november,285,17278.2,442260
10025295,27,blue-collar,single,secondary,yes,no,,26,december,352,8609.4,8100
10025296,34,blue-collar,single,secondary,yes,no,,11,january,316,,109800
10025297,53,management,married,secondary,yes,no,,20,february,126,,-23940
10025298,34,management,single,secondary,yes,no,,7,march,76,1335.6,11880
10025299,40,blue-collar,married,secondary,yes,no,,5,april,1692,3074.4,1800
10025300,27,blue-collar,married,tertiary,no,no,,17,may,24,22714.2,63000
10025301,33,services,married,tertiary,yes,yes,,2,june,253,23036.4,98280
10025302,40,technician,single,secondary,yes,no,,4,july,73,2415.6,64800
10025303,21,student,single,secondary,no,no,,5,august,622,0,1080
10025304,31,blue-collar,married,secondary,yes,no,,25,september,133,0,0
10025305,51,blue-collar,married,secondary,yes,yes,,2,october,178,1839.6,3960
10025306,26,technician,single,secondary,yes,no,,27,november,404,14409,10260
10025307,26,management,married,primary,yes,no,,15,december,275,50781.6,242820
10025308,32,admin.,single,secondary,no,no,,23,january,109,50403.6,127440
10025309,31,blue-collar,married,secondary,yes,yes,,27,february,134,163600.2,239220
10025310,27,unemployed,married,primary,yes,no,,25,march,407,30765.6,1342620
10025311,58,retired,divorced,primary,yes,no,,15,april,225,,8460
10025312,39,services,married,,yes,no,,16,may,86,,-92880
10025313,30,services,married,secondary,yes,no,,3,june,20,0,0
10025314,29,technician,single,tertiary,yes,no,,8,july,247,3243.6,77940
10025315,38,technician,married,secondary,yes,no,,2,august,129,,1620
10025316,29,management,married,tertiary,yes,no,,25,september,324,,-1080
10025317,28,blue-collar,single,secondary,yes,no,,10,october,2016,,-35460
10025318,41,blue-collar,single,secondary,yes,no,,16,november,1054,12920.4,33120
10025319,43,blue-collar,married,primary,yes,no,,23,december,256,5715,60480
10025320,43,blue-collar,single,primary,yes,no,,12,january,163,5189.4,6480
10025321,37,technician,married,secondary,yes,no,,12,february,251,18387,49860
10025322,46,blue-collar,divorced,primary,yes,no,,23,march,113,,81360
10025323,53,blue-collar,married,secondary,yes,no,,30,april,193,,-24300
10025324,28,blue-collar,single,secondary,yes,yes,,29,may,125,2890.8,1260
10025325,41,admin.,married,secondary,yes,,,29,june,344,26535.6,79560
10025326,36,blue-collar,married,secondary,yes,no,,15,july,282,26685,106200
10025327,37,technician,married,tertiary,yes,no,,4,august,1170,7689.6,80460
10025328,38,blue-collar,married,secondary,yes,no,,14,september,408,12162.6,8820
10025329,32,technician,married,secondary,yes,yes,,12,october,128,34311.6,201240
10025330,33,blue-collar,divorced,primary,yes,no,,4,november,665,,70200
10025331,28,technician,single,secondary,yes,no,,18,december,67,,-22500
10025332,52,blue-collar,divorced,primary,yes,yes,,28,january,167,,-17460
10025333,30,blue-collar,single,secondary,no,no,,25,february,395,2523.6,3240
10025334,37,blue-collar,married,secondary,yes,no,,29,march,137,13653,23580
10025335,27,technician,single,secondary,yes,no,,3,april,118,40080.6,94860
10025336,31,services,married,secondary,yes,no,,6,may,231,28476,203220
10025337,47,management,divorced,tertiary,yes,no,,17,june,128,22212,47880
10025338,33,blue-collar,single,secondary,yes,no,,2,july,174,56583,123660
10025339,46,blue-collar,married,primary,yes,yes,,12,august,195,,310680
10025340,38,blue-collar,married,secondary,yes,no,,26,september,412,,-69840
10025341,33,blue-collar,single,primary,yes,no,,27,october,127,,16560
10025342,44,blue-collar,married,primary,yes,no,,30,november,13,,-1980
10025343,35,management,married,tertiary,yes,no,,24,december,61,26404.2,271800
10025344,38,blue-collar,married,secondary,yes,no,,16,january,286,13924.8,30780
10025345,56,blue-collar,married,primary,yes,no,,25,february,76,24120,75600
10025346,33,technician,single,secondary,yes,no,,18,march,53,13775.4,92340
10025347,45,services,married,primary,yes,no,,8,april,274,2786.4,24660
10025348,30,services,married,primary,yes,no,,6,may,409,,3780
10025349,34,admin.,married,secondary,yes,no,,24,june,232,,-56160
10025350,32,blue-collar,married,secondary,yes,yes,,28,july,325,,-37440
10025351,32,blue-collar,single,secondary,no,no,,30,august,144,2361.6,360
10025352,27,admin.,married,secondary,yes,no,,23,september,1713,48834,185940
10025353,48,unemployed,married,secondary,yes,no,,13,october,241,42460.2,153900
10025354,54,blue-collar,married,primary,yes,no,,29,november,103,33807.6,140580
10025355,29,technician,single,tertiary,yes,no,,25,december,338,,97560
10025356,37,blue-collar,divorced,secondary,yes,no,,16,january,182,,-31500
10025357,26,entrepreneur,married,tertiary,yes,yes,,27,february,346,799.2,14220
10025358,43,management,married,secondary,yes,no,,19,march,204,6017.4,540
10025359,31,blue-collar,married,secondary,yes,no,,18,april,296,167097.6,804780
10025360,55,technician,married,secondary,yes,no,,26,may,551,,416340
10025361,45,services,single,secondary,yes,no,,4,june,663,,-25020
10025362,35,technician,single,secondary,yes,no,,24,july,338,,54000
10025363,57,self-employed,married,tertiary,yes,yes,,19,august,153,,-596340
10025364,49,blue-collar,married,primary,yes,no,,10,september,188,9990,63360
10025365,23,services,single,secondary,yes,yes,,11,october,305,6818.4,18900
10025366,49,housemaid,divorced,primary,yes,no,,4,november,1080,,29520
10025367,35,management,single,tertiary,yes,no,,24,december,1461,,-36360
10025368,38,technician,single,tertiary,yes,no,,16,january,116,,-46080
10025369,39,entrepreneur,married,secondary,yes,no,,20,february,129,,226980
10025370,27,self-employed,single,tertiary,yes,no,,8,march,98,,-90540
10025371,37,blue-collar,married,secondary,no,no,,14,april,262,0,142200
10025372,57,management,married,secondary,yes,no,,21,may,147,0,0
10025373,38,entrepreneur,single,tertiary,yes,no,,24,june,150,8998.2,114840
10025374,26,technician,married,secondary,yes,no,,30,july,282,5542.2,8460
10025375,46,entrepreneur,married,,yes,no,,7,august,332,17505,43560
10025376,44,admin.,married,secondary,yes,no,,2,september,88,18525.6,84420
10025377,44,blue-collar,married,primary,yes,yes,,18,october,94,26337.6,48780
10025378,28,blue-collar,married,secondary,yes,no,,23,november,455,,170640
10025379,37,admin.,married,secondary,no,yes,,30,december,49,,-64080
10025380,43,technician,single,secondary,yes,no,,16,january,181,7439.4,60480
